epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,348.224,0.84484,2.21036,1.25598,0.05675,0.93864,0.69636,0.46549,0.9272,3.15009,1.26314,0.00044299,0.00044299,0.00044299
2,674.667,0.85813,1.39214,1.28139,0.68229,0.62841,0.70455,0.40245,1.19308,2.42031,1.83901,0.000855707,0.000855707,0.000855707
3,995.222,0.9303,1.29741,1.31841,0.71299,0.65795,0.71692,0.46772,1.19678,2.0871,1.60506,0.00122315,0.00122315,0.00122315
4,1312.76,0.88763,1.23823,1.27275,0.69928,0.72614,0.7425,0.50674,1.05245,1.87608,1.45554,0.00121679,0.00121679,0.00121679
5,1630.68,0.88825,1.14445,1.26339,0.72756,0.73441,0.77116,0.52036,1.07127,1.64951,1.46941,0.00114606,0.00114606,0.00114606
6,1949.94,0.88601,1.08569,1.25325,0.71456,0.76023,0.7867,0.53641,1.08055,1.58374,1.43261,0.00107532,0.00107532,0.00107532
7,2268.65,0.83492,1.05007,1.24402,0.79577,0.79659,0.85543,0.63589,0.88147,1.33793,1.2381,0.00100459,0.00100459,0.00100459
8,2584.39,0.82892,0.98756,1.21644,0.81863,0.81552,0.88105,0.66353,0.82741,1.24907,1.17759,0.000933851,0.000933851,0.000933851
9,2897.01,0.80784,0.97391,1.22682,0.81786,0.83173,0.88256,0.64825,0.82139,1.32018,1.15948,0.000863116,0.000863116,0.000863116
10,3212.55,0.78113,0.90192,1.19592,0.8936,0.85893,0.92595,0.72798,0.74459,1.03838,1.08498,0.00079238,0.00079238,0.00079238
11,3537.19,0.7777,1.15523,1.2364,0.88537,0.83384,0.91846,0.70445,0.81439,1.30924,1.14532,0.000721645,0.000721645,0.000721645
12,3883.25,0.75501,1.04075,1.21021,0.87615,0.88425,0.93846,0.75555,0.695,0.93423,1.02941,0.000650909,0.000650909,0.000650909
13,4401.11,0.72621,0.98798,1.18734,0.88599,0.88295,0.94691,0.77062,0.69248,0.86805,1.04753,0.000580174,0.000580174,0.000580174
14,4865.59,0.67018,0.88542,1.11773,0.90221,0.87017,0.94295,0.75361,0.68915,0.91513,1.04692,0.000509438,0.000509438,0.000509438
15,5444.87,0.65394,0.80654,1.13101,0.95226,0.89886,0.9744,0.81263,0.61957,0.73182,0.95872,0.000438703,0.000438703,0.000438703
16,5892.15,0.66384,0.78179,1.12626,0.95759,0.9238,0.97896,0.82563,0.57438,0.67015,0.92068,0.000367967,0.000367967,0.000367967
17,6446.56,0.62198,0.72274,1.0851,0.94982,0.92492,0.98038,0.83708,0.55611,0.65854,0.90369,0.000297232,0.000297232,0.000297232
18,6988.01,0.59605,0.69355,1.07783,0.96978,0.925,0.98272,0.84835,0.53457,0.60498,0.87998,0.000226497,0.000226497,0.000226497
